Debit/Credit Card in AFN,"766,000.00 ?",Afghanistan,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Canadian Dollars (CAD),"$13,669.00",Bahamas,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BHD,"?.?3,962.100",Bahrain,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BDT,"?889,640.00",Bangladesh,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BBD,"21,075.00 $",Barbados,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Barbados,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Canadian Dollars (CAD),"$13,670.00",Barbados,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Belarus,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in EUR,"8.571,00 €",Belarus,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in EUR,"8.571,00 €",Belarus,Massachusetts Institute of Technology (MIT) receives
Domestic Bank Transfer in Euros (EUR),"8.812,00 €",Belgium,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in EUR,"8.898,00 €",Belgium,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in EUR,"8.898,00 €",Belgium,Massachusetts Institute of Technology (MIT) receives
American Express in EUR,"8.898,00 €",Belgium,Massachusetts Institute of Technology (MIT) receives
PayPal in EUR,"8.983,00 €",Belgium,Massachusetts Institute of Technology (MIT) receives
Online Bank Transfer,"8.812,00 €",Belgium,Massachusetts Institute of Technology (MIT) receives
,,Belgium,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BZD,"$21,200.00",Belize,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Belize,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Mexican Pesos (MXN),"$205,710.00",Belize,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in XOF,"5,925,500.00 CFA",Benin,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Benin,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BMD,"$10,538.00",Bermuda,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bermuda,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BTN,"719,670.00 Nu",Bhutan,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bhutan,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BOB,"Bs72,924.00","Bolivia, Plurinational State of",Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Bolivia, Plurinational State of",Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Bonaire, Saint Eustatius and Saba",Massachusetts Institute of Technology (MIT) receives
,,"Bonaire, Saint Eustatius and Saba",Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BAM,"17,663.00 KM",Bosnia and Herzegovina,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bosnia and Herzegovina,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Euros (EUR),"8.812,00 €",Bosnia and Herzegovina,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BWP,"P108,900.00",Botswana,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Botswana,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in South African Rand (ZAR),"R139,667.00",Botswana,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in British Pounds (GBP),"£7,764.00",Botswana,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in NOK,"kr84.251,00",Bouvet Island,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in NOK,"kr84.251,00",Bouvet Island,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Norwegian Krone (NOK),"kr81.970,00",Bouvet Island,Massachusetts Institute of Technology (MIT) receives
,,Bouvet Island,Massachusetts Institute of Technology (MIT) receives
Pagamento com Débito em Conta,"R$42.650,00",Brazil,Massachusetts Institute of Technology (MIT) receives
Cartão de Crédito/Débito em Reais,"R$42.650,00",Brazil,Massachusetts Institute of Technology (MIT) receives
Boleto,"R$41.939,00",Brazil,Massachusetts Institute of Technology (MIT) receives
Pagamento Parcelado via Cartão de Crédito em Reais,"R$42.650,00",Brazil,Massachusetts Institute of Technology (MIT) receives
,,Brazil,Massachusetts Institute of Technology (MIT) receives
,,Brazil,Massachusetts Institute of Technology (MIT) receives
,,Brazil,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BND,"$14,400.00",Brunei Darussalam,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in SGD,"S$14,273.00",Brunei Darussalam,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in SGD,"S$14,273.00",Brunei Darussalam,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Brunei Darussalam,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BGN,"??17,661.00",Bulgaria,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bulgaria,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in British Pounds (GBP),"£7,764.00",Bulgaria,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Euros (EUR),"8.810,00 €",Bulgaria,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in XOF,"5,923,200.00 CFA",Burkina Faso,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Burkina Faso,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BIF,"18,540,000.00 FBu",Burundi,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Burundi,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in KHR,"42,741,000.00 ?",Cambodia,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cambodia,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in XAF,"5,921,200.00 Fr",Cameroon,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cameroon,Massachusetts Institute of Technology (MIT) receives
Bank Transfer in Canadian Dollars,"$13,664.00",Canada,Massachusetts Institute of Technology (MIT) receives
Online Bill Pay,"$13,664.00",Canada,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in CAD,"$13,965.00",Canada,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in CAD,"$13,965.00",Canada,Massachusetts Institute of Technology (MIT) receives
American Express in CAD,"$13,965.00",Canada,Massachusetts Institute of Technology (MIT) receives
PayPal in CAD,"$13,878.00",Canada,Massachusetts Institute of Technology (MIT) receives
,,Canada,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in CVE,"995,390.00 $",Cape Verde,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cape Verde,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in KYD,"CI$8,641.00",Cayman Islands,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cayman Islands,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in XAF,"5,921,300.00 Fr",Central African Republic,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Central African Republic,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in XAF,"5,921,300.00 Fr",Chad,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Chad,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in GBP,"£7,841.00",British Indian Ocean Territory,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in GBP,"£7,841.00",British Indian Ocean Territory,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",British Indian Ocean Territory,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in CLP,$6.739.000,Chile,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Chile,Massachusetts Institute of Technology (MIT) receives
?????????? Domestic RMB Transfer ????????????,"CNY66,824.00",China,Massachusetts Institute of Technology (MIT) receives
??? - (Alipay.com),"CNY66,824.00",China,Massachusetts Institute of Technology (MIT) receives
??? – (UnionPay),"CNY66,824.00",China,Massachusetts Institute of Technology (MIT) receives
???? eBanking ????????????,"CNY67,159.00",China,Massachusetts Institute of Technology (MIT) receives
MasterCard in RMB,"CNY69,355.00",China,Massachusetts Institute of Technology (MIT) receives
VISA in RMB,"CNY69,355.00",China,Massachusetts Institute of Technology (MIT) receives
,,China,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in AUD,"A$14,180.00",Christmas Island,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in AUD,"A$14,180.00",Christmas Island,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Christmas Island,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in New Zealand Dollar (NZD),"$14,852.00",Christmas Island,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in AUD,"A$14,180.00",Cocos (Keeling) Islands,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in AUD,"A$14,180.00",Cocos (Keeling) Islands,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cocos (Keeling) Islands,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in New Zealand Dollar (NZD),"$14,851.00",Cocos (Keeling) Islands,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in COP,"COL$30.744.000,00",Colombia,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Colombia,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in KMF,"4,441,700.00 CF",Comoros,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Comoros,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in South African Rand (ZAR),"R139,649.00",Comoros,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in XAF,"5,922,200.00 Fr",Congo,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Congo,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in South African Rand (ZAR),"R139,659.00",Congo,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in XAF,"5,922,200.00 Fr",Congo,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in XAF,"5,922,200.00 Fr",Congo,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in CDF,"16,854,000.00 FC","Congo, the Democratic Republic of the",Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Congo, the Democratic Republic of the",Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in South African Rand (ZAR),"R139,651.00","Congo, the Democratic Republic of the",Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in New Zealand Dollar (NZD),"$14,852.00",Cook Islands,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in NZD,"$15,268.00",Cook Islands,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in NZD,"$15,268.00",Cook Islands,Massachusetts Institute of Technology (MIT) receives
,,Cook Islands,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in CRC,"?5.975.000,00",Costa Rica,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Costa Rica,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in XOF,"5,922,600.00 CFA",Côte d'Ivoire,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Côte d'Ivoire,Massachusetts Institute of Technology (MIT) receives
Bank Transfer in Croatian Kuna (HRK),"kn65.356,00",Croatia,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in HRK,"kn66.630,00",Croatia,Massachusetts Institute of Technology (MIT) receives
Online Bank Transfer,"kn65.356,00",Croatia,Massachusetts Institute of Technology (MIT) receives
,,Croatia,Massachusetts Institute of Technology (MIT) receives
,,Croatia,Massachusetts Institute of Technology (MIT) receives
,,Croatia,Massachusetts Institute of Technology (MIT) receives
,,Croatia,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in ANG,"18,899.00 NAƒ",Curaçao,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Curaçao,Massachusetts Institute of Technology (MIT) receives
Domestic Bank Transfer in Euros (EUR),"8.812,00 €",Cyprus,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in EUR,"8.897,00 €",Cyprus,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in EUR,"8.897,00 €",Cyprus,Massachusetts Institute of Technology (MIT) receives
American Express in EUR,"8.897,00 €",Cyprus,Massachusetts Institute of Technology (MIT) receives
PayPal in EUR,"8.982,00 €",Cyprus,Massachusetts Institute of Technology (MIT) receives
Online Bank Transfer,"8.812,00 €",Cyprus,Massachusetts Institute of Technology (MIT) receives
,,Cyprus,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in CZK,"K?233.864,00",Czech Republic,Massachusetts Institute of Technology (MIT) receives
Bank Transfer from a Czech Koruna (CZK) Account,"K?228.801,00",Czech Republic,Massachusetts Institute of Technology (MIT) receives
Online Bank Transfer,"K?228.801,00",Czech Republic,Massachusetts Institute of Technology (MIT) receives
,,Czech Republic,Massachusetts Institute of Technology (MIT) receives
,,Czech Republic,Massachusetts Institute of Technology (MIT) receives
,,Czech Republic,Massachusetts Institute of Technology (MIT) receives
,,Czech Republic,Massachusetts Institute of Technology (MIT) receives
Domestic Bank Transfer in Danish Krone (DKK),"65.653,00 kr",Denmark,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in DKK,"66.287,00 kr",Denmark,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in DKK,"66.287,00 kr",Denmark,Massachusetts Institute of Technology (MIT) receives
Online Bank Transfer,"65.653,00 kr",Denmark,Massachusetts Institute of Technology (MIT) receives
,,Denmark,Massachusetts Institute of Technology (MIT) receives
,,Denmark,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in DJF,"1,873,500.00 Fdj",Djibouti,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Djibouti,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in XCD,"$28,500.00",Dominica,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominica,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in DOP,"$523,100.00",Dominican Republic,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominican Republic,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ecuador,Massachusetts Institute of Technology (MIT) receives
,,Ecuador,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in EGP,"?.?188,550.00",Egypt,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Egypt,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Euros (EUR),"8.810,00 €",Egypt,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",El Salvador,Massachusetts Institute of Technology (MIT) receives
,,El Salvador,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in XAF,"5,922,900.00 Fr",Equatorial Guinea,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Equatorial Guinea,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Euros (EUR),"8.811,00 €",Equatorial Guinea,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in ERN,"158,070.00 Nfk",Eritrea,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Eritrea,Massachusetts Institute of Technology (MIT) receives
Domestic Bank Transfer in Euros (EUR),"8.809,00 €",Estonia,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in EUR,"8.894,00 €",Estonia,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in EUR,"8.894,00 €",Estonia,Massachusetts Institute of Technology (MIT) receives
American Express in EUR,"8.894,00 €",Estonia,Massachusetts Institute of Technology (MIT) receives
PayPal in EUR,"8.980,00 €",Estonia,Massachusetts Institute of Technology (MIT) receives
Online Bank Transfer,"8.809,00 €",Estonia,Massachusetts Institute of Technology (MIT) receives
,,Estonia,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in ETB,"288,230.00 Br",Ethiopia,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ethiopia,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Euros (EUR),"8.810,00 €",Ethiopia,Massachusetts Institute of Technology (MIT) receives
American Express in GBP,"£7,842.00",Falkland Islands (Malvinas),Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in GBP,"£7,842.00",Falkland Islands (Malvinas),Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in GBP,"£7,842.00",Falkland Islands (Malvinas),Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in FKP,"7,960.00 £",Falkland Islands (Malvinas),Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Falkland Islands (Malvinas),Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in DKK,"66.283,00 kr",Faroe Islands,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in DKK,"66.283,00 kr",Faroe Islands,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Faroe Islands,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in FJD,"22,000.00 $",Fiji,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Fiji,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in AUD,"A$14,170.00",Finland,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in AUD,"A$14,170.00",Finland,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Finland,Massachusetts Institute of Technology (MIT) receives
Domestic Bank Transfer in Euros (EUR),"8.809,00 €",France,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in EUR,"8.894,00 €",France,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in EUR,"8.894,00 €",France,Massachusetts Institute of Technology (MIT) receives
American Express in EUR,"8.894,00 €",France,Massachusetts Institute of Technology (MIT) receives
PayPal in EUR,"8.980,00 €",France,Massachusetts Institute of Technology (MIT) receives
,,France,Massachusetts Institute of Technology (MIT) receives
Domestic Bank Transfer in Euros (EUR),"8.810,00 €",French Guiana,Massachusetts Institute of Technology (MIT) receives
,,French Guiana,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in XPF,"1,077,307.00 Fr",French Polynesia,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",French Polynesia,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Euros (EUR),"8.809,00 €",French Polynesia,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in New Zealand Dollar (NZD),"$14,852.00",French Polynesia,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",French Southern Territories,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in XAF,"5,921,900.00 Fr",Gabon,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gabon,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in GMD,"497,460.00 D",Gambia,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gambia,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in GEL,"25,936.00 ?",Georgia,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Georgia,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Euros (EUR),"8.809,00 €",Georgia,Massachusetts Institute of Technology (MIT) receives
Online Bank Transfer,"8.808,00 €",Germany,Massachusetts Institute of Technology (MIT) receives
Domestic Bank Transfer in Euros (EUR),"8.808,00 €",Germany,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in EUR,"8.893,00 €",Germany,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in EUR,"8.893,00 €",Germany,Massachusetts Institute of Technology (MIT) receives
American Express in EUR,"8.893,00 €",Germany,Massachusetts Institute of Technology (MIT) receives
PayPal in EUR,"8.979,00 €",Germany,Massachusetts Institute of Technology (MIT) receives
,,Germany,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in GHS,"GH?49,842.00",Ghana,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ghana,Massachusetts Institute of Technology (MIT) receives
American Express in GBP,"£7,839.00",Gibraltar,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in GBP,"£7,839.00",Gibraltar,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in GBP,"£7,839.00",Gibraltar,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in GIP,"£7,957.00",Gibraltar,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Euros (EUR),"8.808,00 €",Gibraltar,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gibraltar,Massachusetts Institute of Technology (MIT) receives
Domestic Bank Transfer in Euros (EUR),"8.808,00 €",Greece,Massachusetts Institute of Technology (MIT) receives
