Debit/Credit Card in AFN,"769,842.00 ?",Afghanistan,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.835,00 €",Austria,Miami University receives
VISA: Debit/Credit in EUR,"8.921,00 €",Austria,Miami University receives
MasterCard: Debit/Credit in EUR,"8.921,00 €",Austria,Miami University receives
American Express in EUR,"8.921,00 €",Austria,Miami University receives
PayPal in EUR,"9.007,00 €",Austria,Miami University receives
Online Bank Transfer,"8.835,00 €",Austria,Miami University receives
,,Austria,Miami University receives
Debit/Credit Card in AZN,"???17,929.00",Azerbaijan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,Miami University receives
Debit/Credit Card in BSD,"$10,538.00",Bahamas,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,564.00",Bahamas,Miami University receives
Debit/Credit Card in BHD,"?.?3,962.100",Bahrain,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,Miami University receives
Debit/Credit Card in BDT,"?886,780.00",Bangladesh,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,Miami University receives
Debit/Credit Card in BBD,"21,075.00 $",Barbados,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Barbados,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,563.00",Barbados,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Belarus,Miami University receives
MasterCard: Debit/Credit in EUR,"8.590,00 €",Belarus,Miami University receives
VISA: Debit/Credit in EUR,"8.590,00 €",Belarus,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.832,00 €",Belgium,Miami University receives
VISA: Debit/Credit in EUR,"8.917,00 €",Belgium,Miami University receives
MasterCard: Debit/Credit in EUR,"8.917,00 €",Belgium,Miami University receives
American Express in EUR,"8.917,00 €",Belgium,Miami University receives
PayPal in EUR,"9.003,00 €",Belgium,Miami University receives
Online Bank Transfer,"8.832,00 €",Belgium,Miami University receives
,,Belgium,Miami University receives
Debit/Credit Card in BZD,"$21,200.00",Belize,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Belize,Miami University receives
International Bank Transfer in Mexican Pesos (MXN),"$203,267.00",Belize,Miami University receives
Debit/Credit Card in XOF,"5,939,200.00 CFA",Benin,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Benin,Miami University receives
Debit/Credit Card in BMD,"$10,538.00",Bermuda,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bermuda,Miami University receives
Debit/Credit Card in BTN,"722,750.00 Nu",Bhutan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bhutan,Miami University receives
Debit/Credit Card in BOB,"Bs72,956.00","Bolivia, Plurinational State of",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Bolivia, Plurinational State of",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Bonaire, Saint Eustatius and Saba",Miami University receives
,,"Bonaire, Saint Eustatius and Saba",Miami University receives
Debit/Credit Card in BAM,"17,704.00 KM",Bosnia and Herzegovina,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bosnia and Herzegovina,Miami University receives
International Bank Transfer in Euros (EUR),"8.835,00 €",Bosnia and Herzegovina,Miami University receives
Debit/Credit Card in BWP,"P110,300.00",Botswana,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Botswana,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R141,163.00",Botswana,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,841.00",Botswana,Miami University receives
MasterCard: Debit/Credit in NOK,"kr84.452,00",Bouvet Island,Miami University receives
VISA: Debit/Credit in NOK,"kr84.452,00",Bouvet Island,Miami University receives
International Bank Transfer in Norwegian Krone (NOK),"kr82.166,00",Bouvet Island,Miami University receives
,,Bouvet Island,Miami University receives
Pagamento com Débito em Conta,"R$43.641,00",Brazil,Miami University receives
Cartão de Crédito/Débito em Reais,"R$43.641,00",Brazil,Miami University receives
Boleto,"R$42.914,00",Brazil,Miami University receives
Pagamento Parcelado via Cartão de Crédito em Reais,"R$43.641,00",Brazil,Miami University receives
,,Brazil,Miami University receives
,,Brazil,Miami University receives
,,Brazil,Miami University receives
Debit/Credit Card in BND,"$14,400.00",Brunei Darussalam,Miami University receives
MasterCard: Debit/Credit in SGD,"S$14,299.00",Brunei Darussalam,Miami University receives
VISA: Debit/Credit in SGD,"S$14,299.00",Brunei Darussalam,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Brunei Darussalam,Miami University receives
Debit/Credit Card in BGN,"??17,702.00",Bulgaria,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bulgaria,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,841.00",Bulgaria,Miami University receives
International Bank Transfer in Euros (EUR),"8.835,00 €",Bulgaria,Miami University receives
Debit/Credit Card in XOF,"5,936,800.00 CFA",Burkina Faso,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Burkina Faso,Miami University receives
Debit/Credit Card in BIF,"18,611,000.00 FBu",Burundi,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Burundi,Miami University receives
Debit/Credit Card in KHR,"42,990,000.00 ?",Cambodia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cambodia,Miami University receives
Debit/Credit Card in XAF,"5,937,900.00 Fr",Cameroon,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cameroon,Miami University receives
Bank Transfer in Canadian Dollars,"$13,566.00",Canada,Miami University receives
Online Bill Pay,"$13,566.00",Canada,Miami University receives
MasterCard: Debit/Credit in CAD,"$13,865.00",Canada,Miami University receives
VISA: Debit/Credit in CAD,"$13,865.00",Canada,Miami University receives
American Express in CAD,"$13,865.00",Canada,Miami University receives
PayPal in CAD,"$13,778.00",Canada,Miami University receives
,,Canada,Miami University receives
Debit/Credit Card in CVE,"998,190.00 $",Cape Verde,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cape Verde,Miami University receives
Debit/Credit Card in KYD,"CI$8,641.00",Cayman Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cayman Islands,Miami University receives
Debit/Credit Card in XAF,"5,938,700.00 Fr",Central African Republic,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Central African Republic,Miami University receives
Debit/Credit Card in XAF,"5,938,700.00 Fr",Chad,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Chad,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,915.00",British Indian Ocean Territory,Miami University receives
VISA: Debit/Credit in GBP,"£7,915.00",British Indian Ocean Territory,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",British Indian Ocean Territory,Miami University receives
Debit/Credit Card in CLP,$6.827.000,Chile,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Chile,Miami University receives
?????????? Domestic RMB Transfer ????????????,"CNY67,245.00",China,Miami University receives
??? - (Alipay.com),"CNY67,245.00",China,Miami University receives
??? – (UnionPay),"CNY67,245.00",China,Miami University receives
???? eBanking ????????????,"CNY67,581.00",China,Miami University receives
MasterCard in RMB,"CNY69,792.00",China,Miami University receives
VISA in RMB,"CNY69,792.00",China,Miami University receives
,,China,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,190.00",Christmas Island,Miami University receives
VISA: Debit/Credit in AUD,"A$14,190.00",Christmas Island,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Christmas Island,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,049.00",Christmas Island,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,190.00",Cocos (Keeling) Islands,Miami University receives
VISA: Debit/Credit in AUD,"A$14,190.00",Cocos (Keeling) Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cocos (Keeling) Islands,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,049.00",Cocos (Keeling) Islands,Miami University receives
Debit/Credit Card in COP,"COL$31.082.000,00",Colombia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Colombia,Miami University receives
Debit/Credit Card in KMF,"4,453,900.00 CF",Comoros,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Comoros,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R141,051.00",Comoros,Miami University receives
Debit/Credit Card in XAF,"5,938,500.00 Fr",Congo,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Congo,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R141,025.00",Congo,Miami University receives
VISA: Debit/Credit in XAF,"5,938,500.00 Fr",Congo,Miami University receives
MasterCard: Debit/Credit in XAF,"5,938,500.00 Fr",Congo,Miami University receives
Debit/Credit Card in CDF,"16,985,000.00 FC","Congo, the Democratic Republic of the",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Congo, the Democratic Republic of the",Miami University receives
International Bank Transfer in South African Rand (ZAR),"R141,018.00","Congo, the Democratic Republic of the",Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,045.00",Cook Islands,Miami University receives
MasterCard: Debit/Credit in NZD,"$15,466.00",Cook Islands,Miami University receives
VISA: Debit/Credit in NZD,"$15,466.00",Cook Islands,Miami University receives
,,Cook Islands,Miami University receives
Debit/Credit Card in CRC,"?5.983.400,00",Costa Rica,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Costa Rica,Miami University receives
VISA: Debit/Credit in XOF,"5,936,600.00 CFA",Côte d'Ivoire,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Côte d'Ivoire,Miami University receives
Bank Transfer in Croatian Kuna (HRK),"kn65.542,00",Croatia,Miami University receives
Debit/Credit Card in HRK,"kn66.820,00",Croatia,Miami University receives
Online Bank Transfer,"kn65.542,00",Croatia,Miami University receives
,,Croatia,Miami University receives
,,Croatia,Miami University receives
,,Croatia,Miami University receives
,,Croatia,Miami University receives
Debit/Credit Card in ANG,"18,895.00 NAƒ",Curaçao,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Curaçao,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.834,00 €",Cyprus,Miami University receives
VISA: Debit/Credit in EUR,"8.919,00 €",Cyprus,Miami University receives
MasterCard: Debit/Credit in EUR,"8.919,00 €",Cyprus,Miami University receives
American Express in EUR,"8.919,00 €",Cyprus,Miami University receives
PayPal in EUR,"9.005,00 €",Cyprus,Miami University receives
Online Bank Transfer,"8.834,00 €",Cyprus,Miami University receives
,,Cyprus,Miami University receives
Debit/Credit Card in CZK,"K?234.568,00",Czech Republic,Miami University receives
Bank Transfer from a Czech Koruna (CZK) Account,"K?229.489,00",Czech Republic,Miami University receives
Online Bank Transfer,"K?229.489,00",Czech Republic,Miami University receives
,,Czech Republic,Miami University receives
,,Czech Republic,Miami University receives
,,Czech Republic,Miami University receives
,,Czech Republic,Miami University receives
Domestic Bank Transfer in Danish Krone (DKK),"65.836,00 kr",Denmark,Miami University receives
VISA: Debit/Credit in DKK,"66.472,00 kr",Denmark,Miami University receives
MasterCard: Debit/Credit in DKK,"66.472,00 kr",Denmark,Miami University receives
Online Bank Transfer,"65.836,00 kr",Denmark,Miami University receives
,,Denmark,Miami University receives
,,Denmark,Miami University receives
Debit/Credit Card in DJF,"1,874,500.00 Fdj",Djibouti,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Djibouti,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Dominica,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominica,Miami University receives
Debit/Credit Card in DOP,"$524,100.00",Dominican Republic,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominican Republic,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ecuador,Miami University receives
,,Ecuador,Miami University receives
Debit/Credit Card in EGP,"?.?188,482.00",Egypt,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Egypt,Miami University receives
International Bank Transfer in Euros (EUR),"8.834,00 €",Egypt,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",El Salvador,Miami University receives
,,El Salvador,Miami University receives
Debit/Credit Card in ERN,"158,070.00 Nfk",Eritrea,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Eritrea,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.835,00 €",Estonia,Miami University receives
VISA: Debit/Credit in EUR,"8.920,00 €",Estonia,Miami University receives
MasterCard: Debit/Credit in EUR,"8.920,00 €",Estonia,Miami University receives
American Express in EUR,"8.920,00 €",Estonia,Miami University receives
PayPal in EUR,"9.006,00 €",Estonia,Miami University receives
Online Bank Transfer,"8.835,00 €",Estonia,Miami University receives
,,Estonia,Miami University receives
Debit/Credit Card in ETB,"290,714.00 Br",Ethiopia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ethiopia,Miami University receives
International Bank Transfer in Euros (EUR),"8.835,00 €",Ethiopia,Miami University receives
American Express in GBP,"£7,919.00",Falkland Islands (Malvinas),Miami University receives
VISA: Debit/Credit in GBP,"£7,919.00",Falkland Islands (Malvinas),Miami University receives
MasterCard: Debit/Credit in GBP,"£7,919.00",Falkland Islands (Malvinas),Miami University receives
Debit/Credit Card in FKP,"8,037.00 £",Falkland Islands (Malvinas),Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Falkland Islands (Malvinas),Miami University receives
MasterCard: Debit/Credit in DKK,"66.478,00 kr",Faroe Islands,Miami University receives
VISA: Debit/Credit in DKK,"66.478,00 kr",Faroe Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Faroe Islands,Miami University receives
Debit/Credit Card in FJD,"22,163.00 $",Fiji,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Fiji,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.834,00 €",Finland,Miami University receives
VISA: Debit/Credit in EUR,"8.920,00 €",Finland,Miami University receives
MasterCard: Debit/Credit in EUR,"8.920,00 €",Finland,Miami University receives
American Express in EUR,"8.920,00 €",Finland,Miami University receives
PayPal in EUR,"9.006,00 €",Finland,Miami University receives
Online Bank Transfer,"8.834,00 €",Finland,Miami University receives
,,Finland,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.835,00 €",France,Miami University receives
VISA: Debit/Credit in EUR,"8.920,00 €",France,Miami University receives
MasterCard: Debit/Credit in EUR,"8.920,00 €",France,Miami University receives
American Express in EUR,"8.920,00 €",France,Miami University receives
PayPal in EUR,"9.006,00 €",France,Miami University receives
,,France,Miami University receives
Debit/Credit Card in XPF,"1,080,362.00 Fr",French Polynesia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",French Polynesia,Miami University receives
International Bank Transfer in Euros (EUR),"8.835,00 €",French Polynesia,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,051.00",French Polynesia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",French Southern Territories,Miami University receives
Debit/Credit Card in XAF,"5,939,000.00 Fr",Gabon,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gabon,Miami University receives
Debit/Credit Card in GMD,"496,670.00 D",Gambia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gambia,Miami University receives
Debit/Credit Card in GEL,"25,858.00 ?",Georgia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Georgia,Miami University receives
International Bank Transfer in Euros (EUR),"8.835,00 €",Georgia,Miami University receives
Online Bank Transfer,"8.834,00 €",Germany,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.834,00 €",Germany,Miami University receives
VISA: Debit/Credit in EUR,"8.920,00 €",Germany,Miami University receives
MasterCard: Debit/Credit in EUR,"8.920,00 €",Germany,Miami University receives
American Express in EUR,"8.920,00 €",Germany,Miami University receives
PayPal in EUR,"9.006,00 €",Germany,Miami University receives
,,Germany,Miami University receives
Debit/Credit Card in GHS,"GH?50,127.00",Ghana,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ghana,Miami University receives
American Express in GBP,"£7,918.00",Gibraltar,Miami University receives
VISA: Debit/Credit in GBP,"£7,918.00",Gibraltar,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,918.00",Gibraltar,Miami University receives
Debit/Credit Card in GIP,"£8,038.00",Gibraltar,Miami University receives
International Bank Transfer in Euros (EUR),"8.835,00 €",Gibraltar,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gibraltar,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.836,00 €",Greece,Miami University receives
VISA: Debit/Credit in EUR,"8.921,00 €",Greece,Miami University receives
MasterCard: Debit/Credit in EUR,"8.921,00 €",Greece,Miami University receives
American Express in EUR,"8.921,00 €",Greece,Miami University receives
PayPal in EUR,"9.007,00 €",Greece,Miami University receives
,,Greece,Miami University receives
MasterCard: Debit/Credit in DKK,"66.469,00 kr",Greenland,Miami University receives
VISA: Debit/Credit in DKK,"66.469,00 kr",Greenland,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Greenland,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Grenada,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Grenada,Miami University receives
International Bank Transfer in Euros (EUR),"8.835,00 €",Guadeloupe,Miami University receives
,,Guadeloupe,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guam,Miami University receives
Debit/Credit Card in GTQ,"GTQ78,982.00",Guatemala,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guatemala,Miami University receives
American Express in GBP,"£7,917.00",Guernsey,Miami University receives
VISA: Debit/Credit in GBP,"£7,917.00",Guernsey,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,917.00",Guernsey,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,842.00",Guernsey,Miami University receives
,,Guernsey,Miami University receives
Debit/Credit Card in GNF,"95,357,000.00 FG",Guinea,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guinea,Miami University receives
Debit/Credit Card in XOF,"5,939,000.00 CFA",Guinea-Bissau,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guinea-Bissau,Miami University receives
Debit/Credit Card in GYD,"2,203,340.00 G$",Guyana,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guyana,Miami University receives
Debit/Credit Card in HTG,"701,100.00 G",Haiti,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Haiti,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,190.00",Heard Island and McDonald Islands,Miami University receives
VISA: Debit/Credit in AUD,"A$14,190.00",Heard Island and McDonald Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Heard Island and McDonald Islands,Miami University receives
Debit/Credit Card in HNL,"L252,800.00",Honduras,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Honduras,Miami University receives
Domestic Bank Transfer in Hong Kong Dollars (HKD),"HK$79,630.00",Hong Kong,Miami University receives
VISA: Debit/Credit in HKD,"HK$81,930.00",Hong Kong,Miami University receives
MasterCard: Debit/Credit in HKD,"HK$81,930.00",Hong Kong,Miami University receives
American Express in HKD,"HK$81,930.00",Hong Kong,Miami University receives
,,Hong Kong,Miami University receives
Debit/Credit Card in HUF,"2.971.123,00 Ft",Hungary,Miami University receives
Bank Transfer from a Hungarian Forint (HUF) Account,"2.914.311,00 Ft",Hungary,Miami University receives
Online Bank Transfer,"2.914.311,00 Ft",Hungary,Miami University receives
,,Hungary,Miami University receives
,,Hungary,Miami University receives
,,Hungary,Miami University receives
,,Hungary,Miami University receives
,,Hungary,Miami University receives
,,Hungary,Miami University receives
Debit/Credit Card in ISK,"kr1.124.500,00",Iceland,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Iceland,Miami University receives
Domestic Bank Transfer in Indian Rupees,"?697,583.00",India,Miami University receives
VISA: Debit/Credit in INR,"?722,134.00",India,Miami University receives
MasterCard: Debit/Credit in INR,"?722,134.00",India,Miami University receives
,,India,Miami University receives
Debit/Credit Card in IDR,"Rp151.160.000,00",Indonesia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Indonesia,Miami University receives
International Bank Transfer in Euros (EUR),"8.837,00 €",Indonesia,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,846.00",Indonesia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Iraq,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.837,00 €",Ireland,Miami University receives
VISA: Debit/Credit in EUR,"8.922,00 €",Ireland,Miami University receives
MasterCard: Debit/Credit in EUR,"8.922,00 €",Ireland,Miami University receives
American Express in EUR,"8.922,00 €",Ireland,Miami University receives
PayPal in EUR,"9.008,00 €",Ireland,Miami University receives
Online Bank Transfer,"8.837,00 €",Ireland,Miami University receives
,,Ireland,Miami University receives
American Express in GBP,"£7,920.00",Isle of Man,Miami University receives
VISA: Debit/Credit in GBP,"£7,920.00",Isle of Man,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,920.00",Isle of Man,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,844.00",Isle of Man,Miami University receives
,,Isle of Man,Miami University receives
Bank Transfer in Israeli Shekels (ILS),"?37,470.00",Israel,Miami University receives
Debit/Credit Card in ILS,"?38,458.00",Israel,Miami University receives
,,Israel,Miami University receives
,,Israel,Miami University receives
,,Israel,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.837,00 €",Italy,Miami University receives
VISA: Debit/Credit in EUR,"8.923,00 €",Italy,Miami University receives
MasterCard: Debit/Credit in EUR,"8.923,00 €",Italy,Miami University receives
American Express in EUR,"8.923,00 €",Italy,Miami University receives
PayPal in EUR,"9.009,00 €",Italy,Miami University receives
Online Bank Transfer,"8.837,00 €",Italy,Miami University receives
,,Italy,Miami University receives
Debit/Credit Card in JMD,"J$1,374,900.00",Jamaica,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Jamaica,Miami University receives
Bank Transfer in Japanese Yen (JPY),"¥1,137,900",Japan,Miami University receives
VISA: Debit/Credit in JPY,"¥1,166,000",Japan,Miami University receives
MasterCard: Debit/Credit in JPY,"¥1,166,000",Japan,Miami University receives
American Express in JPY,"¥1,166,000",Japan,Miami University receives
,,Japan,Miami University receives
,,Japan,Miami University receives
American Express in GBP,"£7,919.00",Jersey,Miami University receives
VISA: Debit/Credit in GBP,"£7,919.00",Jersey,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,919.00",Jersey,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,844.00",Jersey,Miami University receives
,,Jersey,Miami University receives
Debit/Credit Card in JOD,"?.?7,472.00",Jordan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Jordan,Miami University receives
Debit/Credit Card in KZT,"3,600,400.00 KZT",Kazakhstan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kazakhstan,Miami University receives
Debit/Credit Card in KES,"KSh1,064,421.00",Kenya,Miami University receives
International Bank Transfer in Euros (EUR),"8.837,00 €",Kenya,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kenya,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,190.00",Kiribati,Miami University receives
VISA: Debit/Credit in AUD,"A$14,190.00",Kiribati,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kiribati,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,057.00",Kiribati,Miami University receives
Domestic Bank Transfer in South Korean Won (KRW),"?11,351,000.00","Korea, Republic of",Miami University receives
Debit/Credit Card in KRW,"?11,746,000.00","Korea, Republic of",Miami University receives
,,"Korea, Republic of",Miami University receives
,,"Korea, Republic of",Miami University receives
,,"Korea, Republic of",Miami University receives
Debit/Credit Card in KWD,"?.?3,198.000",Kuwait,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kuwait,Miami University receives
Debit/Credit Card in KGS,"717,330.00 ??",Kyrgyzstan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kyrgyzstan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Lao People's Democratic Republic,Miami University receives
International Bank Transfer in Euros (EUR),"8.837,00 €",Latvia,Miami University receives
VISA: Debit/Credit in EUR,"8.922,00 €",Latvia,Miami University receives
MasterCard: Debit/Credit in EUR,"8.922,00 €",Latvia,Miami University receives
American Express in EUR,"8.922,00 €",Latvia,Miami University receives
