Debit/Credit Card in AFN,"774,633.00 ?",Afghanistan,Miami University receives
Debit/Credit Card in BSD,"$10,538.00",Bahamas,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,492.00",Bahamas,Miami University receives
Debit/Credit Card in BHD,"?.?3,963.000",Bahrain,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,Miami University receives
Debit/Credit Card in BDT,"?885,680.00",Bangladesh,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,Miami University receives
Debit/Credit Card in BBD,"21,075.00 $",Barbados,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Barbados,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,492.00",Barbados,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Belarus,Miami University receives
MasterCard: Debit/Credit in EUR,"8.995,00 €",Belarus,Miami University receives
VISA: Debit/Credit in EUR,"8.995,00 €",Belarus,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.824,00 €",Belgium,Miami University receives
VISA: Debit/Credit in EUR,"8.909,00 €",Belgium,Miami University receives
MasterCard: Debit/Credit in EUR,"8.909,00 €",Belgium,Miami University receives
American Express in EUR,"8.909,00 €",Belgium,Miami University receives
PayPal in EUR,"8.995,00 €",Belgium,Miami University receives
Online Bank Transfer,"8.824,00 €",Belgium,Miami University receives
Debit/Credit Card in BZD,"$21,200.00",Belize,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Belize,Miami University receives
International Bank Transfer in Mexican Pesos (MXN),"$201,826.00",Belize,Miami University receives
Debit/Credit Card in XOF,"5,932,400.00 CFA",Benin,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Benin,Miami University receives
Debit/Credit Card in BMD,"$10,538.00",Bermuda,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bermuda,Miami University receives
Debit/Credit Card in BTN,"722,390.00 Nu",Bhutan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bhutan,Miami University receives
Debit/Credit Card in BOB,"Bs72,714.00","Bolivia, Plurinational State of",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Bolivia, Plurinational State of",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Bonaire, Saint Eustatius and Saba",Miami University receives
Debit/Credit Card in BAM,"17,685.00 KM",Bosnia and Herzegovina,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bosnia and Herzegovina,Miami University receives
International Bank Transfer in Euros (EUR),"8.826,00 €",Bosnia and Herzegovina,Miami University receives
Debit/Credit Card in BWP,"P109,600.00",Botswana,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Botswana,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R141,136.00",Botswana,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,796.00",Botswana,Miami University receives
MasterCard: Debit/Credit in NOK,"kr84.260,00",Bouvet Island,Miami University receives
VISA: Debit/Credit in NOK,"kr84.260,00",Bouvet Island,Miami University receives
International Bank Transfer in Norwegian Krone (NOK),"kr81.979,00",Bouvet Island,Miami University receives
Pagamento com Débito em Conta,"R$44.008,00",Brazil,Miami University receives
Cartão de Crédito/Débito em Reais,"R$44.008,00",Brazil,Miami University receives
Boleto,"R$43.275,00",Brazil,Miami University receives
Pagamento Parcelado via Cartão de Crédito em Reais,"R$44.008,00",Brazil,Miami University receives
Debit/Credit Card in BND,"$14,400.00",Brunei Darussalam,Miami University receives
MasterCard: Debit/Credit in SGD,"S$14,297.00",Brunei Darussalam,Miami University receives
VISA: Debit/Credit in SGD,"S$14,297.00",Brunei Darussalam,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Brunei Darussalam,Miami University receives
Debit/Credit Card in BGN,"??17,688.00",Bulgaria,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bulgaria,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,798.00",Bulgaria,Miami University receives
International Bank Transfer in Euros (EUR),"8.830,00 €",Bulgaria,Miami University receives
Debit/Credit Card in XOF,"5,932,300.00 CFA",Burkina Faso,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Burkina Faso,Miami University receives
Debit/Credit Card in BIF,"18,559,000.00 FBu",Burundi,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Burundi,Miami University receives
Debit/Credit Card in KHR,"42,691,000.00 ?",Cambodia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cambodia,Miami University receives
Debit/Credit Card in XAF,"5,932,300.00 Fr",Cameroon,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cameroon,Miami University receives
Bank Transfer in Canadian Dollars,"$13,494.00",Canada,Miami University receives
Online Bill Pay,"$13,494.00",Canada,Miami University receives
MasterCard: Debit/Credit in CAD,"$13,791.00",Canada,Miami University receives
VISA: Debit/Credit in CAD,"$13,791.00",Canada,Miami University receives
American Express in CAD,"$13,791.00",Canada,Miami University receives
PayPal in CAD,"$13,705.00",Canada,Miami University receives
Debit/Credit Card in CVE,"997,660.00 $",Cape Verde,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cape Verde,Miami University receives
Debit/Credit Card in KYD,"CI$8,641.00",Cayman Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cayman Islands,Miami University receives
Debit/Credit Card in XAF,"5,934,700.00 Fr",Central African Republic,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Central African Republic,Miami University receives
Debit/Credit Card in XAF,"5,934,700.00 Fr",Chad,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Chad,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,876.00",British Indian Ocean Territory,Miami University receives
VISA: Debit/Credit in GBP,"£7,876.00",British Indian Ocean Territory,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",British Indian Ocean Territory,Miami University receives
Debit/Credit Card in CLP,$6.849.000,Chile,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Chile,Miami University receives
?????????? Domestic RMB Transfer ????????????,"CNY67,263.00",China,Miami University receives
??? - (Alipay.com),"CNY67,263.00",China,Miami University receives
??? – (UnionPay),"CNY67,263.00",China,Miami University receives
???? eBanking ????????????,"CNY67,600.00",China,Miami University receives
Debit/Credit Card in CNY,"CNY69,811.00",China,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,198.00",Christmas Island,Miami University receives
VISA: Debit/Credit in AUD,"A$14,198.00",Christmas Island,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Christmas Island,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,074.00",Christmas Island,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,198.00",Cocos (Keeling) Islands,Miami University receives
VISA: Debit/Credit in AUD,"A$14,198.00",Cocos (Keeling) Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cocos (Keeling) Islands,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,075.00",Cocos (Keeling) Islands,Miami University receives
Debit/Credit Card in COP,"COL$30.653.000,00",Colombia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Colombia,Miami University receives
Debit/Credit Card in KMF,"4,451,400.00 CF",Comoros,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Comoros,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R141,183.00",Comoros,Miami University receives
Debit/Credit Card in XAF,"5,935,100.00 Fr",Congo,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Congo,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R141,181.00",Congo,Miami University receives
VISA: Debit/Credit in XAF,"5,935,100.00 Fr",Congo,Miami University receives
MasterCard: Debit/Credit in XAF,"5,935,100.00 Fr",Congo,Miami University receives
Debit/Credit Card in CDF,"16,984,000.00 FC","Congo, the Democratic Republic of the",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Congo, the Democratic Republic of the",Miami University receives
International Bank Transfer in South African Rand (ZAR),"R141,186.00","Congo, the Democratic Republic of the",Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,075.00",Cook Islands,Miami University receives
MasterCard: Debit/Credit in NZD,"$15,497.00",Cook Islands,Miami University receives
VISA: Debit/Credit in NZD,"$15,497.00",Cook Islands,Miami University receives
Debit/Credit Card in CRC,"?5.980.600,00",Costa Rica,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Costa Rica,Miami University receives
VISA: Debit/Credit in XOF,"5,935,100.00 CFA",Côte d'Ivoire,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Côte d'Ivoire,Miami University receives
Bank Transfer in Croatian Kuna (HRK),"kn65.591,00",Croatia,Miami University receives
Debit/Credit Card in HRK,"kn66.869,00",Croatia,Miami University receives
Online Bank Transfer,"kn65.591,00",Croatia,Miami University receives
Debit/Credit Card in ANG,"18,886.00 NAƒ",Curaçao,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Curaçao,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.833,00 €",Cyprus,Miami University receives
VISA: Debit/Credit in EUR,"8.918,00 €",Cyprus,Miami University receives
MasterCard: Debit/Credit in EUR,"8.918,00 €",Cyprus,Miami University receives
American Express in EUR,"8.918,00 €",Cyprus,Miami University receives
PayPal in EUR,"9.004,00 €",Cyprus,Miami University receives
Online Bank Transfer,"8.833,00 €",Cyprus,Miami University receives
Debit/Credit Card in CZK,"K?235.998,00",Czech Republic,Miami University receives
Bank Transfer from a Czech Koruna (CZK) Account,"K?230.889,00",Czech Republic,Miami University receives
Online Bank Transfer,"K?230.889,00",Czech Republic,Miami University receives
Domestic Bank Transfer in Danish Krone (DKK),"65.826,00 kr",Denmark,Miami University receives
VISA: Debit/Credit in DKK,"66.462,00 kr",Denmark,Miami University receives
MasterCard: Debit/Credit in DKK,"66.462,00 kr",Denmark,Miami University receives
Online Bank Transfer,"65.826,00 kr",Denmark,Miami University receives
Debit/Credit Card in DJF,"1,874,300.00 Fdj",Djibouti,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Djibouti,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Dominica,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominica,Miami University receives
Debit/Credit Card in DOP,"$522,500.00",Dominican Republic,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominican Republic,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ecuador,Miami University receives
Debit/Credit Card in EGP,"?.?188,418.00",Egypt,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Egypt,Miami University receives
International Bank Transfer in Euros (EUR),"8.835,00 €",Egypt,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",El Salvador,Miami University receives
Debit/Credit Card in XAF,"5,938,000.00 Fr",Equatorial Guinea,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Equatorial Guinea,Miami University receives
International Bank Transfer in Euros (EUR),"8.835,00 €",Equatorial Guinea,Miami University receives
Debit/Credit Card in ERN,"158,070.00 Nfk",Eritrea,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Eritrea,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.833,00 €",Estonia,Miami University receives
VISA: Debit/Credit in EUR,"8.918,00 €",Estonia,Miami University receives
MasterCard: Debit/Credit in EUR,"8.918,00 €",Estonia,Miami University receives
American Express in EUR,"8.918,00 €",Estonia,Miami University receives
PayPal in EUR,"9.004,00 €",Estonia,Miami University receives
Online Bank Transfer,"8.833,00 €",Estonia,Miami University receives
Debit/Credit Card in ETB,"289,834.00 Br",Ethiopia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ethiopia,Miami University receives
International Bank Transfer in Euros (EUR),"8.834,00 €",Ethiopia,Miami University receives
American Express in GBP,"£7,879.00",Falkland Islands (Malvinas),Miami University receives
VISA: Debit/Credit in GBP,"£7,880.00",Falkland Islands (Malvinas),Miami University receives
MasterCard: Debit/Credit in GBP,"£7,880.00",Falkland Islands (Malvinas),Miami University receives
Debit/Credit Card in FKP,"8,000.00 £",Falkland Islands (Malvinas),Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Falkland Islands (Malvinas),Miami University receives
MasterCard: Debit/Credit in DKK,"66.457,00 kr",Faroe Islands,Miami University receives
VISA: Debit/Credit in DKK,"66.457,00 kr",Faroe Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Faroe Islands,Miami University receives
Debit/Credit Card in FJD,"22,160.00 $",Fiji,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Fiji,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.836,00 €",Finland,Miami University receives
VISA: Debit/Credit in EUR,"8.921,00 €",Finland,Miami University receives
MasterCard: Debit/Credit in EUR,"8.921,00 €",Finland,Miami University receives
American Express in EUR,"8.921,00 €",Finland,Miami University receives
PayPal in EUR,"9.007,00 €",Finland,Miami University receives
Online Bank Transfer,"8.836,00 €",Finland,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.836,00 €",France,Miami University receives
VISA: Debit/Credit in EUR,"8.922,00 €",France,Miami University receives
MasterCard: Debit/Credit in EUR,"8.922,00 €",France,Miami University receives
American Express in EUR,"8.922,00 €",France,Miami University receives
PayPal in EUR,"9.008,00 €",France,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.835,00 €",French Guiana,Miami University receives
Debit/Credit Card in XPF,"1,080,232.00 Fr",French Polynesia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",French Polynesia,Miami University receives
International Bank Transfer in Euros (EUR),"8.835,00 €",French Polynesia,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,083.00",French Polynesia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",French Southern Territories,Miami University receives
Debit/Credit Card in XAF,"5,938,000.00 Fr",Gabon,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gabon,Miami University receives
Debit/Credit Card in GMD,"497,500.00 D",Gambia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gambia,Miami University receives
Debit/Credit Card in GEL,"25,763.00 ?",Georgia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Georgia,Miami University receives
International Bank Transfer in Euros (EUR),"8.833,00 €",Georgia,Miami University receives
Online Bank Transfer,"8.833,00 €",Germany,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.833,00 €",Germany,Miami University receives
VISA: Debit/Credit in EUR,"8.919,00 €",Germany,Miami University receives
MasterCard: Debit/Credit in EUR,"8.919,00 €",Germany,Miami University receives
American Express in EUR,"8.919,00 €",Germany,Miami University receives
PayPal in EUR,"9.005,00 €",Germany,Miami University receives
MasterCard: Debit/Credit in GHS,"GH?50,776.00",Ghana,Miami University receives
VISA: Debit/Credit in GHS,"GH?50,776.00",Ghana,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ghana,Miami University receives
American Express in GBP,"£7,877.00",Gibraltar,Miami University receives
VISA: Debit/Credit in GBP,"£7,877.00",Gibraltar,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,877.00",Gibraltar,Miami University receives
Debit/Credit Card in GIP,"£7,998.00",Gibraltar,Miami University receives
International Bank Transfer in Euros (EUR),"8.832,00 €",Gibraltar,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gibraltar,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.832,00 €",Greece,Miami University receives
VISA: Debit/Credit in EUR,"8.917,00 €",Greece,Miami University receives
MasterCard: Debit/Credit in EUR,"8.917,00 €",Greece,Miami University receives
American Express in EUR,"8.917,00 €",Greece,Miami University receives
PayPal in EUR,"9.003,00 €",Greece,Miami University receives
MasterCard: Debit/Credit in DKK,"66.442,00 kr",Greenland,Miami University receives
VISA: Debit/Credit in DKK,"66.442,00 kr",Greenland,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Greenland,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Grenada,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Grenada,Miami University receives
International Bank Transfer in Euros (EUR),"8.833,00 €",Guadeloupe,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guam,Miami University receives
Debit/Credit Card in GTQ,"GTQ78,997.00",Guatemala,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guatemala,Miami University receives
American Express in GBP,"£7,878.00",Guernsey,Miami University receives
VISA: Debit/Credit in GBP,"£7,878.00",Guernsey,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,878.00",Guernsey,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,802.00",Guernsey,Miami University receives
Debit/Credit Card in GNF,"95,066,000.00 FG",Guinea,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guinea,Miami University receives
Debit/Credit Card in XOF,"5,937,200.00 CFA",Guinea-Bissau,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guinea-Bissau,Miami University receives
Debit/Credit Card in GYD,"2,195,490.00 G$",Guyana,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guyana,Miami University receives
Debit/Credit Card in HTG,"699,700.00 G",Haiti,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Haiti,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,195.00",Heard Island and McDonald Islands,Miami University receives
VISA: Debit/Credit in AUD,"A$14,195.00",Heard Island and McDonald Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Heard Island and McDonald Islands,Miami University receives
Debit/Credit Card in HNL,"L252,100.00",Honduras,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Honduras,Miami University receives
Domestic Bank Transfer in Hong Kong Dollars (HKD),"HK$79,580.00",Hong Kong,Miami University receives
VISA: Debit/Credit in HKD,"HK$81,870.00",Hong Kong,Miami University receives
MasterCard: Debit/Credit in HKD,"HK$81,870.00",Hong Kong,Miami University receives
American Express in HKD,"HK$81,870.00",Hong Kong,Miami University receives
Debit/Credit Card in HUF,"2.955.859,00 Ft",Hungary,Miami University receives
Bank Transfer from a Hungarian Forint (HUF) Account,"2.899.339,00 Ft",Hungary,Miami University receives
Online Bank Transfer,"2.899.339,00 Ft",Hungary,Miami University receives
Debit/Credit Card in ISK,"kr1.131.400,00",Iceland,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Iceland,Miami University receives
Domestic Bank Transfer in Indian Rupees,"?698,214.00",India,Miami University receives
VISA: Debit/Credit in INR,"?722,788.00",India,Miami University receives
MasterCard: Debit/Credit in INR,"?722,788.00",India,Miami University receives
Debit/Credit Card in IDR,"Rp151.350.000,00",Indonesia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Indonesia,Miami University receives
International Bank Transfer in Euros (EUR),"8.833,00 €",Indonesia,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,803.00",Indonesia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Iraq,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.834,00 €",Ireland,Miami University receives
VISA: Debit/Credit in EUR,"8.919,00 €",Ireland,Miami University receives
MasterCard: Debit/Credit in EUR,"8.919,00 €",Ireland,Miami University receives
American Express in EUR,"8.919,00 €",Ireland,Miami University receives
PayPal in EUR,"9.005,00 €",Ireland,Miami University receives
Online Bank Transfer,"8.834,00 €",Ireland,Miami University receives
American Express in GBP,"£7,881.00",Isle of Man,Miami University receives
VISA: Debit/Credit in GBP,"£7,881.00",Isle of Man,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,881.00",Isle of Man,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,805.00",Isle of Man,Miami University receives
Bank Transfer in Israeli Shekels (ILS),"?37,256.00",Israel,Miami University receives
Debit/Credit Card in ILS,"?38,473.00",Israel,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.834,00 €",Italy,Miami University receives
VISA: Debit/Credit in EUR,"8.919,00 €",Italy,Miami University receives
MasterCard: Debit/Credit in EUR,"8.919,00 €",Italy,Miami University receives
American Express in EUR,"8.919,00 €",Italy,Miami University receives
PayPal in EUR,"9.005,00 €",Italy,Miami University receives
Online Bank Transfer,"8.834,00 €",Italy,Miami University receives
Debit/Credit Card in JMD,"J$1,362,500.00",Jamaica,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Jamaica,Miami University receives
Bank Transfer in Japanese Yen (JPY),"¥1,136,400",Japan,Miami University receives
VISA: Debit/Credit in JPY,"¥1,164,500",Japan,Miami University receives
MasterCard: Debit/Credit in JPY,"¥1,164,500",Japan,Miami University receives
American Express in JPY,"¥1,164,500",Japan,Miami University receives
American Express in GBP,"£7,881.00",Jersey,Miami University receives
VISA: Debit/Credit in GBP,"£7,881.00",Jersey,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,881.00",Jersey,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,805.00",Jersey,Miami University receives
MasterCard: Debit/Credit in JOD,"?.?7,472.00",Jordan,Miami University receives
VISA: Debit/Credit in JOD,"?.?7,472.00",Jordan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Jordan,Miami University receives
Debit/Credit Card in KZT,"3,611,600.00 KZT",Kazakhstan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kazakhstan,Miami University receives
Debit/Credit Card in KES,"KSh1,061,254.00",Kenya,Miami University receives
International Bank Transfer in Euros (EUR),"8.833,00 €",Kenya,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kenya,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,196.00",Kiribati,Miami University receives
VISA: Debit/Credit in AUD,"A$14,196.00",Kiribati,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kiribati,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,075.00",Kiribati,Miami University receives
Domestic Bank Transfer in South Korean Won (KRW),"?11,372,000.00","Korea, Republic of",Miami University receives
Debit/Credit Card in KRW,"?11,767,000.00","Korea, Republic of",Miami University receives
MasterCard: Debit/Credit in KWD,"?.?3,193.000",Kuwait,Miami University receives
VISA: Debit/Credit in KWD,"?.?3,193.000",Kuwait,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kuwait,Miami University receives
Debit/Credit Card in KGS,"717,650.00 ??",Kyrgyzstan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kyrgyzstan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Lao People's Democratic Republic,Miami University receives
International Bank Transfer in Euros (EUR),"8.832,00 €",Latvia,Miami University receives
VISA: Debit/Credit in EUR,"8.917,00 €",Latvia,Miami University receives
MasterCard: Debit/Credit in EUR,"8.917,00 €",Latvia,Miami University receives
American Express in EUR,"8.917,00 €",Latvia,Miami University receives
PayPal in EUR,"9.003,00 €",Latvia,Miami University receives
Online Bank Transfer,"8.832,00 €",Latvia,Miami University receives
Debit/Credit Card in LBP,"£15,885,143.00",Lebanon,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Lebanon,Miami University receives
Debit/Credit Card in LSL,"144,500.00 L",Lesotho,Miami University receives
MasterCard: Debit/Credit in ZAR,"R143,675.00",Lesotho,Miami University receives
VISA: Debit/Credit in ZAR,"R143,675.00",Lesotho,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Lesotho,Miami University receives
Debit/Credit Card in LRD,"1,595,570.00 L$",Liberia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Liberia,Miami University receives
Debit/Credit Card in LYD,"14,466.000 LD",Libyan Arab Jamahiriya,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Libyan Arab Jamahiriya,Miami University receives
MasterCard: Debit/Credit in CHF,"Fr10,411.00",Liechtenstein,Miami University receives
