Pyment_method,Pt_Amount,From_Country,Institute
International Bank Transfer in Canadian Dollars (CAD),"$13,473.00",Aruba,Miami University receives
Domestic Bank Transfer in AUD (EFT),"A$13,900.00",Australia,Miami University receives
VISA: Debit/Credit in AUD,"A$14,163.00",Australia,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,163.00",Australia,Miami University receives
American Express in AUD,"A$14,163.00",Australia,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.818,00 €",Austria,Miami University receives
VISA: Debit/Credit in EUR,"8.903,00 €",Austria,Miami University receives
MasterCard: Debit/Credit in EUR,"8.903,00 €",Austria,Miami University receives
American Express in EUR,"8.903,00 €",Austria,Miami University receives
PayPal in EUR,"8.989,00 €",Austria,Miami University receives
Online Bank Transfer,"8.818,00 €",Austria,Miami University receives
Debit/Credit Card in AZN,"???17,931.00",Azerbaijan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,Miami University receives
Debit/Credit Card in BSD,"$10,538.00",Bahamas,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,474.00",Bahamas,Miami University receives
Debit/Credit Card in BHD,"?.?3,963.000",Bahrain,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,Miami University receives
Debit/Credit Card in BDT,"?885,340.00",Bangladesh,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,Miami University receives
Debit/Credit Card in BBD,"21,075.00 $",Barbados,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Barbados,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,473.00",Barbados,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Belarus,Miami University receives
MasterCard: Debit/Credit in EUR,"8.989,00 €",Belarus,Miami University receives
VISA: Debit/Credit in EUR,"8.989,00 €",Belarus,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.819,00 €",Belgium,Miami University receives
VISA: Debit/Credit in EUR,"8.904,00 €",Belgium,Miami University receives
MasterCard: Debit/Credit in EUR,"8.904,00 €",Belgium,Miami University receives
American Express in EUR,"8.904,00 €",Belgium,Miami University receives
PayPal in EUR,"8.990,00 €",Belgium,Miami University receives
Online Bank Transfer,"8.819,00 €",Belgium,Miami University receives
Debit/Credit Card in BZD,"$21,200.00",Belize,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Belize,Miami University receives
International Bank Transfer in Mexican Pesos (MXN),"$201,060.00",Belize,Miami University receives
Debit/Credit Card in XOF,"5,927,600.00 CFA",Benin,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Benin,Miami University receives
Debit/Credit Card in BMD,"$10,538.00",Bermuda,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bermuda,Miami University receives
Debit/Credit Card in BTN,"722,300.00 Nu",Bhutan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bhutan,Miami University receives
Debit/Credit Card in BOB,"Bs72,696.00","Bolivia, Plurinational State of",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Bolivia, Plurinational State of",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Bonaire, Saint Eustatius and Saba",Miami University receives
Debit/Credit Card in BAM,"17,675.00 KM",Bosnia and Herzegovina,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bosnia and Herzegovina,Miami University receives
International Bank Transfer in Euros (EUR),"8.818,00 €",Bosnia and Herzegovina,Miami University receives
Debit/Credit Card in BWP,"P109,700.00",Botswana,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Botswana,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R140,541.00",Botswana,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,790.00",Botswana,Miami University receives
MasterCard: Debit/Credit in NOK,"kr84.406,00",Bouvet Island,Miami University receives
VISA: Debit/Credit in NOK,"kr84.406,00",Bouvet Island,Miami University receives
International Bank Transfer in Norwegian Krone (NOK),"kr82.121,00",Bouvet Island,Miami University receives
Pagamento com Débito em Conta,"R$44.008,00",Brazil,Miami University receives
Cartão de Crédito/Débito em Reais,"R$44.008,00",Brazil,Miami University receives
Boleto,"R$43.275,00",Brazil,Miami University receives
Pagamento Parcelado via Cartão de Crédito em Reais,"R$44.008,00",Brazil,Miami University receives
Debit/Credit Card in BND,"$14,400.00",Brunei Darussalam,Miami University receives
MasterCard: Debit/Credit in SGD,"S$14,289.00",Brunei Darussalam,Miami University receives
VISA: Debit/Credit in SGD,"S$14,289.00",Brunei Darussalam,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Brunei Darussalam,Miami University receives
Debit/Credit Card in BGN,"??17,674.00",Bulgaria,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bulgaria,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,791.00",Bulgaria,Miami University receives
International Bank Transfer in Euros (EUR),"8.818,00 €",Bulgaria,Miami University receives
Debit/Credit Card in XOF,"5,927,500.00 CFA",Burkina Faso,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Burkina Faso,Miami University receives
Debit/Credit Card in BIF,"18,557,000.00 FBu",Burundi,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Burundi,Miami University receives
Debit/Credit Card in KHR,"42,689,000.00 ?",Cambodia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cambodia,Miami University receives
Debit/Credit Card in XAF,"5,927,000.00 Fr",Cameroon,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cameroon,Miami University receives
Bank Transfer in Canadian Dollars,"$13,472.00",Canada,Miami University receives
Online Bill Pay,"$13,472.00",Canada,Miami University receives
MasterCard: Debit/Credit in CAD,"$13,768.00",Canada,Miami University receives
VISA: Debit/Credit in CAD,"$13,768.00",Canada,Miami University receives
American Express in CAD,"$13,768.00",Canada,Miami University receives
PayPal in CAD,"$13,682.00",Canada,Miami University receives
Debit/Credit Card in CVE,"996,350.00 $",Cape Verde,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cape Verde,Miami University receives
Debit/Credit Card in KYD,"CI$8,641.00",Cayman Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cayman Islands,Miami University receives
Debit/Credit Card in XAF,"5,927,000.00 Fr",Central African Republic,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Central African Republic,Miami University receives
Debit/Credit Card in XAF,"5,927,000.00 Fr",Chad,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Chad,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,865.00",British Indian Ocean Territory,Miami University receives
VISA: Debit/Credit in GBP,"£7,865.00",British Indian Ocean Territory,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",British Indian Ocean Territory,Miami University receives
Debit/Credit Card in CLP,$6.849.000,Chile,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Chile,Miami University receives
?????????? Domestic RMB Transfer ????????????,"CNY67,387.00",China,Miami University receives
??? - (Alipay.com),"CNY67,387.00",China,Miami University receives
??? – (UnionPay),"CNY67,387.00",China,Miami University receives
???? eBanking ????????????,"CNY67,724.00",China,Miami University receives
Debit/Credit Card in CNY,"CNY69,940.00",China,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,158.00",Christmas Island,Miami University receives
VISA: Debit/Credit in AUD,"A$14,158.00",Christmas Island,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Christmas Island,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,067.00",Christmas Island,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,158.00",Cocos (Keeling) Islands,Miami University receives
VISA: Debit/Credit in AUD,"A$14,158.00",Cocos (Keeling) Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cocos (Keeling) Islands,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,067.00",Cocos (Keeling) Islands,Miami University receives
Debit/Credit Card in COP,"COL$30.656.000,00",Colombia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Colombia,Miami University receives
Debit/Credit Card in KMF,"4,444,900.00 CF",Comoros,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Comoros,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R140,355.00",Comoros,Miami University receives
Debit/Credit Card in XAF,"5,926,600.00 Fr",Congo,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Congo,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R140,355.00",Congo,Miami University receives
VISA: Debit/Credit in XAF,"5,926,600.00 Fr",Congo,Miami University receives
MasterCard: Debit/Credit in XAF,"5,926,600.00 Fr",Congo,Miami University receives
Debit/Credit Card in CDF,"16,960,000.00 FC","Congo, the Democratic Republic of the",Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Congo, the Democratic Republic of the",Miami University receives
International Bank Transfer in South African Rand (ZAR),"R140,447.00","Congo, the Democratic Republic of the",Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,068.00",Cook Islands,Miami University receives
MasterCard: Debit/Credit in NZD,"$15,489.00",Cook Islands,Miami University receives
VISA: Debit/Credit in NZD,"$15,489.00",Cook Islands,Miami University receives
Debit/Credit Card in CRC,"?5.979.700,00",Costa Rica,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Costa Rica,Miami University receives
VISA: Debit/Credit in XOF,"5,926,400.00 CFA",Côte d'Ivoire,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Côte d'Ivoire,Miami University receives
Bank Transfer in Croatian Kuna (HRK),"kn65.456,00",Croatia,Miami University receives
Debit/Credit Card in HRK,"kn66.732,00",Croatia,Miami University receives
Online Bank Transfer,"kn65.456,00",Croatia,Miami University receives
Debit/Credit Card in ANG,"18,878.00 NAƒ",Curaçao,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Curaçao,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.817,00 €",Cyprus,Miami University receives
VISA: Debit/Credit in EUR,"8.902,00 €",Cyprus,Miami University receives
MasterCard: Debit/Credit in EUR,"8.902,00 €",Cyprus,Miami University receives
American Express in EUR,"8.902,00 €",Cyprus,Miami University receives
PayPal in EUR,"8.988,00 €",Cyprus,Miami University receives
Online Bank Transfer,"8.817,00 €",Cyprus,Miami University receives
Debit/Credit Card in CZK,"K?236.022,00",Czech Republic,Miami University receives
Bank Transfer from a Czech Koruna (CZK) Account,"K?230.912,00",Czech Republic,Miami University receives
Online Bank Transfer,"K?230.912,00",Czech Republic,Miami University receives
Domestic Bank Transfer in Danish Krone (DKK),"65.710,00 kr",Denmark,Miami University receives
VISA: Debit/Credit in DKK,"66.344,00 kr",Denmark,Miami University receives
MasterCard: Debit/Credit in DKK,"66.344,00 kr",Denmark,Miami University receives
Online Bank Transfer,"65.710,00 kr",Denmark,Miami University receives
Debit/Credit Card in DJF,"1,874,500.00 Fdj",Djibouti,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Djibouti,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Dominica,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominica,Miami University receives
Debit/Credit Card in DOP,"$522,800.00",Dominican Republic,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominican Republic,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ecuador,Miami University receives
Debit/Credit Card in EGP,"?.?188,700.00",Egypt,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Egypt,Miami University receives
International Bank Transfer in Euros (EUR),"8.818,00 €",Egypt,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",El Salvador,Miami University receives
Debit/Credit Card in XAF,"5,927,000.00 Fr",Equatorial Guinea,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Equatorial Guinea,Miami University receives
International Bank Transfer in Euros (EUR),"8.816,00 €",Equatorial Guinea,Miami University receives
Debit/Credit Card in ERN,"158,070.00 Nfk",Eritrea,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Eritrea,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.816,00 €",Estonia,Miami University receives
VISA: Debit/Credit in EUR,"8.902,00 €",Estonia,Miami University receives
MasterCard: Debit/Credit in EUR,"8.902,00 €",Estonia,Miami University receives
American Express in EUR,"8.902,00 €",Estonia,Miami University receives
PayPal in EUR,"8.987,00 €",Estonia,Miami University receives
Online Bank Transfer,"8.816,00 €",Estonia,Miami University receives
Debit/Credit Card in ETB,"289,824.00 Br",Ethiopia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ethiopia,Miami University receives
International Bank Transfer in Euros (EUR),"8.816,00 €",Ethiopia,Miami University receives
American Express in GBP,"£7,866.00",Falkland Islands (Malvinas),Miami University receives
VISA: Debit/Credit in GBP,"£7,866.00",Falkland Islands (Malvinas),Miami University receives
MasterCard: Debit/Credit in GBP,"£7,866.00",Falkland Islands (Malvinas),Miami University receives
Debit/Credit Card in FKP,"7,984.00 £",Falkland Islands (Malvinas),Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Falkland Islands (Malvinas),Miami University receives
MasterCard: Debit/Credit in DKK,"66.330,00 kr",Faroe Islands,Miami University receives
VISA: Debit/Credit in DKK,"66.330,00 kr",Faroe Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Faroe Islands,Miami University receives
Debit/Credit Card in FJD,"22,177.00 $",Fiji,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Fiji,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.817,00 €",Finland,Miami University receives
VISA: Debit/Credit in EUR,"8.902,00 €",Finland,Miami University receives
MasterCard: Debit/Credit in EUR,"8.902,00 €",Finland,Miami University receives
American Express in EUR,"8.902,00 €",Finland,Miami University receives
PayPal in EUR,"8.988,00 €",Finland,Miami University receives
Online Bank Transfer,"8.817,00 €",Finland,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.817,00 €",France,Miami University receives
VISA: Debit/Credit in EUR,"8.902,00 €",France,Miami University receives
MasterCard: Debit/Credit in EUR,"8.902,00 €",France,Miami University receives
American Express in EUR,"8.902,00 €",France,Miami University receives
PayPal in EUR,"8.988,00 €",France,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.816,00 €",French Guiana,Miami University receives
Debit/Credit Card in XPF,"1,078,034.00 Fr",French Polynesia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",French Polynesia,Miami University receives
International Bank Transfer in Euros (EUR),"8.817,00 €",French Polynesia,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,070.00",French Polynesia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",French Southern Territories,Miami University receives
Debit/Credit Card in XAF,"5,925,900.00 Fr",Gabon,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gabon,Miami University receives
Debit/Credit Card in GMD,"497,520.00 D",Gambia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gambia,Miami University receives
Debit/Credit Card in GEL,"25,763.00 ?",Georgia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Georgia,Miami University receives
International Bank Transfer in Euros (EUR),"8.816,00 €",Georgia,Miami University receives
Online Bank Transfer,"8.816,00 €",Germany,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.816,00 €",Germany,Miami University receives
VISA: Debit/Credit in EUR,"8.901,00 €",Germany,Miami University receives
MasterCard: Debit/Credit in EUR,"8.901,00 €",Germany,Miami University receives
American Express in EUR,"8.901,00 €",Germany,Miami University receives
PayPal in EUR,"8.987,00 €",Germany,Miami University receives
MasterCard: Debit/Credit in GHS,"GH?50,568.00",Ghana,Miami University receives
VISA: Debit/Credit in GHS,"GH?50,568.00",Ghana,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ghana,Miami University receives
American Express in GBP,"£7,866.00",Gibraltar,Miami University receives
VISA: Debit/Credit in GBP,"£7,866.00",Gibraltar,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,866.00",Gibraltar,Miami University receives
Debit/Credit Card in GIP,"£7,984.00",Gibraltar,Miami University receives
International Bank Transfer in Euros (EUR),"8.816,00 €",Gibraltar,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gibraltar,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.816,00 €",Greece,Miami University receives
VISA: Debit/Credit in EUR,"8.901,00 €",Greece,Miami University receives
MasterCard: Debit/Credit in EUR,"8.901,00 €",Greece,Miami University receives
American Express in EUR,"8.901,00 €",Greece,Miami University receives
PayPal in EUR,"8.987,00 €",Greece,Miami University receives
MasterCard: Debit/Credit in DKK,"66.322,00 kr",Greenland,Miami University receives
VISA: Debit/Credit in DKK,"66.322,00 kr",Greenland,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Greenland,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Grenada,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Grenada,Miami University receives
International Bank Transfer in Euros (EUR),"8.815,00 €",Guadeloupe,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guam,Miami University receives
Debit/Credit Card in GTQ,"GTQ78,994.00",Guatemala,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guatemala,Miami University receives
American Express in GBP,"£7,866.00",Guernsey,Miami University receives
VISA: Debit/Credit in GBP,"£7,866.00",Guernsey,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,866.00",Guernsey,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,791.00",Guernsey,Miami University receives
Debit/Credit Card in GNF,"95,099,000.00 FG",Guinea,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guinea,Miami University receives
Debit/Credit Card in XOF,"5,925,500.00 CFA",Guinea-Bissau,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guinea-Bissau,Miami University receives
Debit/Credit Card in GYD,"2,195,710.00 G$",Guyana,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guyana,Miami University receives
Debit/Credit Card in HTG,"698,600.00 G",Haiti,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Haiti,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,155.00",Heard Island and McDonald Islands,Miami University receives
VISA: Debit/Credit in AUD,"A$14,155.00",Heard Island and McDonald Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Heard Island and McDonald Islands,Miami University receives
Debit/Credit Card in HNL,"L252,100.00",Honduras,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Honduras,Miami University receives
Domestic Bank Transfer in Hong Kong Dollars (HKD),"HK$79,590.00",Hong Kong,Miami University receives
VISA: Debit/Credit in HKD,"HK$81,880.00",Hong Kong,Miami University receives
MasterCard: Debit/Credit in HKD,"HK$81,880.00",Hong Kong,Miami University receives
American Express in HKD,"HK$81,880.00",Hong Kong,Miami University receives
Debit/Credit Card in HUF,"2.957.677,00 Ft",Hungary,Miami University receives
Bank Transfer from a Hungarian Forint (HUF) Account,"2.901.122,00 Ft",Hungary,Miami University receives
Online Bank Transfer,"2.901.122,00 Ft",Hungary,Miami University receives
Debit/Credit Card in ISK,"kr1.129.300,00",Iceland,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Iceland,Miami University receives
Domestic Bank Transfer in Indian Rupees,"?697,679.00",India,Miami University receives
VISA: Debit/Credit in INR,"?722,234.00",India,Miami University receives
MasterCard: Debit/Credit in INR,"?722,234.00",India,Miami University receives
Debit/Credit Card in IDR,"Rp151.290.000,00",Indonesia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Indonesia,Miami University receives
International Bank Transfer in Euros (EUR),"8.815,00 €",Indonesia,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,790.00",Indonesia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Iraq,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.815,00 €",Ireland,Miami University receives
VISA: Debit/Credit in EUR,"8.900,00 €",Ireland,Miami University receives
MasterCard: Debit/Credit in EUR,"8.900,00 €",Ireland,Miami University receives
American Express in EUR,"8.900,00 €",Ireland,Miami University receives
PayPal in EUR,"8.986,00 €",Ireland,Miami University receives
Online Bank Transfer,"8.815,00 €",Ireland,Miami University receives
American Express in GBP,"£7,864.00",Isle of Man,Miami University receives
VISA: Debit/Credit in GBP,"£7,864.00",Isle of Man,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,864.00",Isle of Man,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,789.00",Isle of Man,Miami University receives
Bank Transfer in Israeli Shekels (ILS),"?37,259.00",Israel,Miami University receives
Debit/Credit Card in ILS,"?38,477.00",Israel,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.815,00 €",Italy,Miami University receives
VISA: Debit/Credit in EUR,"8.900,00 €",Italy,Miami University receives
MasterCard: Debit/Credit in EUR,"8.900,00 €",Italy,Miami University receives
American Express in EUR,"8.900,00 €",Italy,Miami University receives
PayPal in EUR,"8.985,00 €",Italy,Miami University receives
Online Bank Transfer,"8.815,00 €",Italy,Miami University receives
Debit/Credit Card in JMD,"J$1,362,400.00",Jamaica,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Jamaica,Miami University receives
Bank Transfer in Japanese Yen (JPY),"¥1,136,000",Japan,Miami University receives
VISA: Debit/Credit in JPY,"¥1,164,100",Japan,Miami University receives
MasterCard: Debit/Credit in JPY,"¥1,164,100",Japan,Miami University receives
American Express in JPY,"¥1,164,100",Japan,Miami University receives
American Express in GBP,"£7,864.00",Jersey,Miami University receives
VISA: Debit/Credit in GBP,"£7,864.00",Jersey,Miami University receives
MasterCard: Debit/Credit in GBP,"£7,864.00",Jersey,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,789.00",Jersey,Miami University receives
MasterCard: Debit/Credit in JOD,"?.?7,472.00",Jordan,Miami University receives
VISA: Debit/Credit in JOD,"?.?7,472.00",Jordan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Jordan,Miami University receives
Debit/Credit Card in KZT,"3,611,900.00 KZT",Kazakhstan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kazakhstan,Miami University receives
Debit/Credit Card in KES,"KSh1,062,371.00",Kenya,Miami University receives
International Bank Transfer in Euros (EUR),"8.814,00 €",Kenya,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kenya,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,149.00",Kiribati,Miami University receives
VISA: Debit/Credit in AUD,"A$14,149.00",Kiribati,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kiribati,Miami University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,060.00",Kiribati,Miami University receives
Domestic Bank Transfer in South Korean Won (KRW),"?11,361,000.00","Korea, Republic of",Miami University receives
Debit/Credit Card in KRW,"?11,756,000.00","Korea, Republic of",Miami University receives
MasterCard: Debit/Credit in KWD,"?.?3,191.000",Kuwait,Miami University receives
VISA: Debit/Credit in KWD,"?.?3,191.000",Kuwait,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kuwait,Miami University receives
Debit/Credit Card in KGS,"717,330.00 ??",Kyrgyzstan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kyrgyzstan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Lao People's Democratic Republic,Miami University receives
International Bank Transfer in Euros (EUR),"8.815,00 €",Latvia,Miami University receives
VISA: Debit/Credit in EUR,"8.900,00 €",Latvia,Miami University receives
MasterCard: Debit/Credit in EUR,"8.900,00 €",Latvia,Miami University receives
American Express in EUR,"8.900,00 €",Latvia,Miami University receives
PayPal in EUR,"8.986,00 €",Latvia,Miami University receives
Online Bank Transfer,"8.815,00 €",Latvia,Miami University receives
Debit/Credit Card in LBP,"£15,885,143.00",Lebanon,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Lebanon,Miami University receives
Debit/Credit Card in LSL,"143,700.00 L",Lesotho,Miami University receives
MasterCard: Debit/Credit in ZAR,"R142,894.00",Lesotho,Miami University receives
VISA: Debit/Credit in ZAR,"R142,894.00",Lesotho,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Lesotho,Miami University receives
Debit/Credit Card in LRD,"1,595,200.00 L$",Liberia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Liberia,Miami University receives
Debit/Credit Card in LYD,"14,457.000 LD",Libyan Arab Jamahiriya,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Libyan Arab Jamahiriya,Miami University receives
MasterCard: Debit/Credit in CHF,"Fr10,400.00",Liechtenstein,Miami University receives
